Series Name,"Series Code","Country Name","Country Code","2018 [YR2018]"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Afghanistan","AFG","2.72140895"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Africa Eastern and Southern","AFE","45.00322636148"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Africa Western and Central","AFW","12.909945972337"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Albania","ALB","148.4365691"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Algeria","DZA","168.57567796"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","American Samoa","ASM","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Andorra","AND","1916.98456252"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Angola","AGO","36.73723231"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Antigua and Barbuda","ATG","485.82119188"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Arab World","ARB","224.703538999155"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Argentina","ARG","692.61743135"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Armenia","ARM","52.11013478"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Aruba","ABW","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Australia","AUS","3689.90078678"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Austria","AUT","3863.31498328"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Azerbaijan","AZE","43.97442155"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bahamas, The","BHS","1000.11577909"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bahrain","BHR","584.89891239"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bangladesh","BGD","7.1157897"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Barbados","BRB","521.43027343"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Belarus","BLR","247.68008379"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Belgium","BEL","3944.48729309"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Belize","BLZ","196.18195147"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Benin","BEN","6.09102944"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bermuda","BMU","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bhutan","BTN","81.7279877"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bolivia","BOL","171.60088554"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bosnia and Herzegovina","BIH","377.21874829"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Botswana","BWA","388.23126205"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Brazil","BRA","355.91903424"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","British Virgin Islands","VGB","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Brunei Darussalam","BRN","726.06939329"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Bulgaria","BGR","397.63744044"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Burkina Faso","BFA","17.11735616"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Burundi","BDI","6.22053323"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cabo Verde","CPV","116.05828874"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cambodia","KHM","24.98236818"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cameroon","CMR","3.22925578"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Canada","CAN","3521.60526314"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Caribbean small states","CSS","339.229805210582"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cayman Islands","CYM","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Central African Republic","CAF","3.36226694"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Central Europe and the Baltics","CEB","781.242213780987"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Chad","TCD","4.9733974"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Channel Islands","CHI","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Chile","CHL","739.51575018"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","China","CHN","282.67976485"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Colombia","COL","367.49579912"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Comoros","COM","10.83967882"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Congo, Dem. Rep.","COD","2.79260914"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Congo, Rep.","COG","17.47318621"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Costa Rica","CRI","658.54824604"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cote d'Ivoire","CIV","20.97783234"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Croatia","HRV","843.92785855"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cuba","CUB","877.43903101"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Curacao","CUW","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Cyprus","CYP","845.70648591"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Czech Republic","CZE","1460.20850851"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Denmark","DNK","5214.66021716"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Djibouti","DJI","35.12189169"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Dominica","DMA","318.10812798"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Dominican Republic","DOM","204.4886834"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Early-demographic dividend","EAR","87.8945265689447"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","East Asia & Pacific","EAS","477.238458266654"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","East Asia & Pacific (excluding high income)","EAP","215.630508392269"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","East Asia & Pacific (IDA & IBRD countries)","TEA","215.640457162629"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Ecuador","ECU","310.38333428"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Egypt, Arab Rep.","EGY","36.07154684"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","El Salvador","SLV","184.22164337"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Equatorial Guinea","GNQ","62.46933828"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Eritrea","ERI","3.74254667"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Estonia","EST","1142.94798997"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Eswatini","SWZ","144.30614657"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Ethiopia","ETH","5.66116337"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Euro area","EMU","3025.37384008573"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Europe & Central Asia","ECS","1713.10791896454"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Europe & Central Asia (excluding high income)","ECA","262.490207480966"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Europe & Central Asia (IDA & IBRD countries)","TEC","303.679908520407"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","European Union","EUU","2646.55489463391"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Faroe Islands","FRO","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Fiji","FJI","146.56089383"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Finland","FIN","3547.37301349"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Fragile and conflict affected situations","FCS","28.142571152531"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","France","FRA","3536.84388269"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","French Polynesia","PYF","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Gabon","GAB","128.02356787"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Gambia, The","GMB","7.84882874"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Georgia","GEO","123.41461114"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Germany","DEU","4252.24100183"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Ghana","GHA","30.31431857"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Gibraltar","GIB","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Greece","GRC","812.47862476"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Greenland","GRL","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Grenada","GRD","195.24805783"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Guam","GUM","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Guatemala","GTM","93.48613757"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Guinea","GIN","5.89686852"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Guinea-Bissau","GNB","4.44476206"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Guyana","GUY","181.39357569"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Haiti","HTI","7.69670437"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Heavily indebted poor countries (HIPC)","HPC","14.0361466524162"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","High income","HIC","3482.36968371347"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Honduras","HND","70.95574395"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Hong Kong SAR, China","HKG","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Hungary","HUN","747.06176731"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","IBRD only","IBD","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Iceland","ISL","5414.59365441"
