Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Afghanistan,AFG,55.4252090454102
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Africa Eastern and Southern,AFE,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Africa Western and Central,AFW,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Albania,ALB,95.4323272705078
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Algeria,DZA,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,American Samoa,ASM,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Andorra,AND,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Angola,AGO,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Antigua and Barbuda,ATG,111.19603729248
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Arab World,ARB,71.7761535644531
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Argentina,ARG,107.647277832031
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Armenia,ARM,83.1506805419922
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Aruba,ABW,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Australia,AUS,132.772888183594
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Austria,AUT,99.9578399658203
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Azerbaijan,AZE,94.4800796508789
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Bahamas, The",BHS,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bahrain,BHR,98.5990676879883
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bangladesh,BGD,72.6905975341797
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Barbados,BRB,103.703903198242
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Belarus,BLR,102.439529418945
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Belgium,BEL,155.961074829102
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Belize,BLZ,85.3724594116211
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Benin,BEN,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bermuda,BMU,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bhutan,BTN,90.0946807861328
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bolivia,BOL,89.724250793457
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bosnia and Herzegovina,BIH,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Botswana,BWA,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Brazil,BRA,105.00910949707
"School enrollment, secondary (% gross)",SE.SEC.ENRR,British Virgin Islands,VGB,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Brunei Darussalam,BRN,93.482780456543
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bulgaria,BGR,96.8209075927734
